Month,Location 1 ,Location 2,Average Generation,"windgust - 27.5, -97.82","winddir - 27.5, -97.82","windspeed - 27.5, -97.82","windgust - 27.55, -97.88","winddir - 27.55, -97.88","windspeed - 27.55, -97.88","windgust - 27.7, -97.5","winddir - 27.7, -97.5","windspeed - 27.7, -97.5"
Sep-09,2718,,2718,56.17778,153.5167,23.39,56.14444,154.7533,22.8,55.17778,130.5067,22.89667
Oct-09,51384,,51384,59.2,143.5,29.96129,59.15625,132.9581,29.30323,59.90556,131.4129,30.55484
Nov-09,30429,,30429,55.725,153.31,23.41,55.7125,142.7233,22.85,56.1,104.14,24.17333
Dec-09,35393,,35393,56.15455,154.8839,25.75161,56.17273,143.3581,25.15161,55.91429,113.5194,25.18065
Jan-10,50745,,50745,47.44583,152.4452,28.06774,47.82083,152.9806,27.6871,55.46842,122.4129,29.40323
Feb-10,43196,,43196,47.24286,159.2643,27.46071,48.02381,134.0536,27.18214,60.74444,98.80357,29.70714
Mar-10,55361,,55361,46.15,191.0581,31,46.11154,190.7516,30.32903,49.68519,192.6484,32.74839
Apr-10,54261,,54261,49.20357,145.9633,31.51333,49.24286,146.4,30.72,82.15,135.51,35.35333
May-10,49171,,49171,46.23077,140.6258,29.64839,46.4,142.1032,28.75484,90.6129,148.9935,28.33226
Jun-10,45527,,45527,43.72069,121.5433,30.25,44.12069,121.7533,29.72,72.06333,131.9967,27.76
Jul-10,36969,,36969,41.33214,122.4645,25.56129,41.68929,122.7935,24.83226,57.48,132.9516,25.17097
Aug-10,29150,9057,19103.5,38.808,132.1419,24.83548,38.708,132.6323,24.05161,84.93871,138.8097,23.28065
Sep-10,25737,,25737,43.65556,115.91,23.03667,43.72963,115.7133,22.54667,65.20741,127.3633,25.24333
Oct-10,34663,,34663,36.23929,138.6355,23.47742,36.35,139.6677,23.05161,40.24074,119.2097,24.68387
Nov-10,55023,,55023,49.57083,189.9933,29.67667,49.71667,190.68,29.05333,51.5,149.1567,31.31667
Dec-10,56526,61271,58898.5,43.55556,149.0387,28.32903,43.6037,150.0032,27.71613,47.47778,137.3097,30.06452
Jan-11,40048,45767,42907.5,43.42917,130.6065,24.91935,44.02083,131.1419,24.38387,49.81905,105.4935,26.77097
Feb-11,60969,68502,64735.5,47.9037,196.8607,33.88571,48.2,197.0286,33.13571,51.87407,201.2036,35.81071
Mar-11,58673,59339,59006,43.29677,108.4968,30.78387,43.70968,108.5258,30.17419,48.32903,111.2129,32.05161
Apr-11,82169,94609,88389,49.56,128.72,36.07333,49.68,128.5833,35.38667,55.39667,131.1333,38.04667
May-11,52047,79714,65880.5,47.49333,123.7065,33.05806,47.68,124.2032,32.4,53.67333,140.6258,35.81935
Jun-11,48749,53011,50880,44.75667,126.3633,30.80667,44.74667,126.3133,30.32333,46.47143,136.1467,31.28
Jul-11,51980,55855,53917.5,44.42258,139.9774,31.93226,44.65806,139.9161,31.45806,46.00645,144.3226,33.64516
Aug-11,48746,51825,50285.5,45.02258,138.1613,31.40645,44.24516,138.1742,30.46774,45.95667,142.1258,31.76452
Sep-11,27419,27806,27612.5,39.36,138.4867,27.63667,40.11667,126.2,26.61333,41.88333,105.6533,28.83667
Oct-11,39865,37114,38489.5,41.67241,125.7387,28.67419,41.86207,126.3258,27.85806,42.74333,131.5516,29.00968
Nov-11,56619,58720,57669.5,47.9069,173.49,33.09,47.37241,174.62,32.04,50.27586,157.04,35.94667
Dec-11,49682,53688,51685,47.46154,192.3419,36.22581,47.52308,193.2452,30.86774,46.14643,162.1742,31.03548
Jan-12,49290,56692,52991,44.96,145.1323,29.3129,45.232,145.1129,28.83548,48.1,133.829,32.40968
Feb-12,39825,46829,43327,41.78571,114.6552,27.0069,41.8619,115.0448,26.27586,46.76667,106.5069,30.65862
Mar-12,60300,67926,64113,46.7,163.1871,32.45484,46.91667,163.3,31.73548,50.78571,167.6323,35.8871
Apr-12,59496,66032,62764,47.48929,131.0733,31.48667,47.62857,130.79,30.77,49.70714,133.0867,34.45
May-12,46407,49380,47893.5,45.47667,109.5,29.95484,45.50333,109.0871,29.07419,44.44138,117.9484,28.39677
Jun-12,37955,49380,43667.5,44.23,120.92,29.65667,44.18667,120.98,29.04333,40.74333,126.45,28.23
Jul-12,45782,47821,46801.5,45.51935,143.4645,31.35161,45.50968,143.5065,30.44194,42.55806,147.2581,28
Aug-12,43290,48103,45696.5,42.7,146.429,29.67742,42.91613,148.4774,29.23226,42.1871,142.5742,30.51613
Sep-12,33550,36072,34811,42.83448,128.8,27.54,42.71379,129.8533,27.02,42.78929,115.62,29.34
Oct-12,44677,50815,47746,42.48276,128.5581,28.96129,42.52414,129.3613,28.22903,43.73793,123.5032,30.72258
